prob_density,r,z,vr,vz
4e-06,6.808043100000001e-08,1.7149773910000001e-06,-0.0252895841,0.0237562429
4e-06,6.83590775e-08,1.7147161305e-06,-0.0251271446,0.0235593545
4e-06,6.863892800000001e-08,1.7144542305e-06,-0.0249656302,0.0233642657
4e-06,6.891998550000001e-08,1.7141916880000002e-06,-0.0248050351,0.0231709663
4e-06,6.920224700000001e-08,1.7139285060000003e-06,-0.0246453618,0.0229794539
4e-06,6.9485715e-08,1.7136646825e-06,-0.024486599,0.0227897043
4e-06,6.977038750000001e-08,1.7134002190000002e-06,-0.0243287959,0.0226016585
3e-06,7.005626450000001e-08,1.7131351180000003e-06,-0.0241719831,0.022415277
3e-06,7.034337500000001e-08,1.7128693545000003e-06,-0.024016125,0.0222305194
3e-06,7.063169600000002e-08,1.7126029505000002e-06,-0.0238612489,0.0220474067
3e-06,7.0921223e-08,1.7123359115000002e-06,-0.0237073368,0.02186592
3e-06,7.12119565e-08,1.7120682395000001e-06,-0.0235543871,0.0216860536
3e-06,7.1503893e-08,1.7117999370000002e-06,-0.023402398,0.0215078018
3e-06,7.179703400000001e-08,1.7115310055000001e-06,-0.0232513664,0.0213311576
3e-06,7.2091377e-08,1.7112614470000003e-06,-0.0231012827,0.0211561078
3e-06,7.2386961e-08,1.7109912265e-06,-0.0229521242,0.0209826249
3e-06,7.268375700000001e-08,1.7107203720000002e-06,-0.0228038971,0.0208107098
3e-06,7.2981754e-08,1.7104488940000003e-06,-0.0226566,0.0206403594
3e-06,7.3280952e-08,1.7101767935000003e-06,-0.0225102344,0.0204715712
3e-06,7.358134900000001e-08,1.709904072e-06,-0.0223647908,0.0203043322
3e-06,7.38829605e-08,1.709630716e-06,-0.0222202588,0.0201386276
3e-06,7.41858115e-08,1.7093567025000001e-06,-0.0220766168,0.0199744311
3e-06,7.448986000000001e-08,1.7090820715e-06,-0.0219338825,0.0198117555
3e-06,7.479510350000001e-08,1.7088068235000003e-06,-0.0217920495,0.0196505928
2e-06,7.510154050000001e-08,1.7085309605e-06,-0.0216511187,0.0194909395
2e-06,7.540920900000001e-08,1.7082544480000002e-06,-0.0215110509,0.0193327533
2e-06,7.5718103e-08,1.707977291e-06,-0.0213718603,0.0191760087
2e-06,7.60281895e-08,1.7076995210000002e-06,-0.021233611,0.019020703
2e-06,7.6339467e-08,1.7074211395e-06,-0.0210962696,0.0188667981
2e-06,7.66519605e-08,1.707142125e-06,-0.0209598378,0.01871429
2e-06,7.696569850000001e-08,1.7068624535e-06,-0.0208242882,0.018563148
2e-06,7.728062600000001e-08,1.7065821740000002e-06,-0.0206896432,0.018413389
2e-06,7.75967415e-08,1.7063012885000003e-06,-0.0205558975,0.0182650073
2e-06,7.79140835e-08,1.7060197635e-06,-0.0204230206,0.0181179697
2e-06,7.823266000000001e-08,1.7057375920000002e-06,-0.0202910164,0.0179722737
2e-06,7.855242150000001e-08,1.7054548185000002e-06,-0.020159887,0.017827919
2e-06,7.887336550000001e-08,1.705171445e-06,-0.0200296368,0.0176849078
2e-06,7.919557650000002e-08,1.7048873975000003e-06,-0.0199002222,0.0175431938
2e-06,7.951898100000001e-08,1.7046027410000003e-06,-0.0197716696,0.0174027961
2e-06,7.98435635e-08,1.7043174875e-06,-0.0196439721,0.0172637081
2e-06,8.01693775e-08,1.704031592e-06,-0.0195171097,0.0171259067
2e-06,8.049641950000001e-08,1.7037450560000003e-06,-0.01939107,0.0169893749
2e-06,8.082463550000001e-08,1.703457927e-06,-0.0192658771,0.0168541322
2e-06,8.11540605e-08,1.7031701735000001e-06,-0.0191415053,0.0167201528
2e-06,8.148473200000001e-08,1.7028817625000001e-06,-0.0190179395,0.0165874165
2e-06,8.181657300000001e-08,1.70259276e-06,-0.0188951935,0.0164559332
